募資項目名稱,募資項目網址,目前募資金額,贊助人數,開始時間,結束時間
從大哥哥拍到變大叔 - 依舊熱血的第九屆偏鄉義拍畢冊計畫,https://www.zeczec.com/projects/graduation-book-funding-project,351214,159,2022-10-03 08:00:00,2022-11-06 23:59:00
Studio Smoll 巧翻皮夾2.0｜流暢隨行，快意感應,https://www.zeczec.com/projects/revolve-wallet2,338706,128,2022-10-17 21:00:00,2022-12-22 23:59:00
如寶石般的磨刀石美學抵台！｜重新復刻日本最古老產地將消失的「伊予砥」，天然陶石再現頂級細膩研磨！,https://www.zeczec.com/projects/iyokogyoshostone,297220,185,2022-10-04 21:00:00,2022-12-04 23:59:00
美國NASA太空衣同款布料，保持人體最舒適的恆溫黑科技「FirePro守護者機能外套」,https://www.zeczec.com/projects/firepro,291190,36,2022-09-28 20:30:00,2022-11-28 23:59:00
無尾香蕉動物學校｜友愛一起計畫｜【與動物相愛的練習】｜和插畫家李瑾倫一起創作你的毛孩故事,https://www.zeczec.com/projects/NBAS,282802,166,2022-10-11 20:00:00,2022-11-13 23:59:00
REO 大馬士革主廚刀｜天然紋路美感盡現！讓你刀刀精準俐落，縱橫天下料理！,https://www.zeczec.com/projects/reo,272404,68,2022-10-25 21:00:00,2022-12-14 02:00:00
【infinite-air 系列 風力發電機 】 在嚴酷環境下也能徹夜高功率發電,https://www.zeczec.com/projects/infinite-air-12,262548,17,2022-10-06 12:00:00,2022-11-20 23:59:00
懶人曆｜2023 努力到剛好就可以，做個懶人也沒有關係｜嘖嘖Ｘ黃玠 歌詞週曆,https://www.zeczec.com/projects/HelloLazy,258211,321,2022-10-19 20:00:00,2022-12-01 02:00:00
SAVING POWER x YOOBAO EN300 輕量級隨身小電站｜電到用時「不」方恨少！,https://www.zeczec.com/projects/yoobao-en300,235574,31,2022-10-03 20:00:00,2022-12-03 02:00:00
【癒見真實自己-全球獨家六合一日日療癒卡牌】 獨家能量印記覺察卡牌讓你日日是好日~,https://www.zeczec.com/projects/ninenine,188430,71,2022-10-05 20:00:00,2022-11-30 23:59:00
台灣版絕美的「自然朝聖之路」，要向世界旅人發光｜【 2022 亞洲步道大會，在台灣】募資計畫,https://www.zeczec.com/projects/ATC-2022,180762,38,2022-10-20 00:00:00,2022-12-20 23:59:00
2023《身體曆行》插畫週曆 ✷ 照顧自己、放鬆身心的52個療癒提案,https://www.zeczec.com/projects/BodyFirst2023,172118,174,2022-09-28 21:00:00,2022-10-31 23:59:00
淨瓶小熊｜PH9 不傷瓶-超鹼性萬用清潔錠 ，瓶器再髒再臭，10min一錠終結！,https://www.zeczec.com/projects/bolarbear,167780,235,2022-10-19 09:00:00,2022-12-22 23:59:00
【精裝典藏】2022大勢韓劇｜人生劇創造者 ‧ 盧熙京《我們的藍調時光》劇本雙書,https://www.zeczec.com/projects/OurBlues,162969,175,2022-10-25 12:00:00,2022-11-28 02:00:00
黑洞超吸抽油煙機,https://www.zeczec.com/projects/blackhole,137300,8,2022-10-04 20:00:00,2022-11-04 23:59:00
🔥早鳥優惠🔥 潮方SHOW BOX｜是收納箱也是展示盒，1600萬色動態燈光，沈浸式光感隨音源律動🎵，智慧陳列你的潮鞋/包/錶/公仔收藏！,https://www.zeczec.com/projects/show-fun-box,135603,13,2022-10-18 21:00:00,2022-11-28 02:00:00
希望的當下｜王志揚書法月曆 2023,https://www.zeczec.com/projects/Treasure,135510,58,2022-09-28 12:00:00,2022-11-07 23:59:00
2023｜兔兔島｜水墨風超萌撲克牌｜恭喜發牌紅包拿來！,https://www.zeczec.com/projects/bunny-island,133830,136,2022-10-01 00:00:00,2022-10-31 23:59:00
【好容益】微笑藥師監製出品│首發主打新鮮的益生菌！,https://www.zeczec.com/projects/hao-rong-yi,128515,38,2022-10-24 12:00:00,2022-11-23 23:59:00
【南部鐵器 OIGEN 及源鑄造 | 幸福鑄鐵燒系列-共3款】全日本設計及手工鍛造，為感情加溫的料理神器,https://www.zeczec.com/projects/oigen-cookware,126812,24,2022-10-13 20:00:00,2022-11-30 23:59:00
花生騷 原民傳統織布｜部落潮設計,https://www.zeczec.com/projects/wasangshow001,125830,120,2022-09-28 19:00:00,2022-11-28 21:00:00
bitplay Wander Pack｜全境旅行系列,https://www.zeczec.com/projects/bitplay-wander-pack,125390,36,2022-10-26 12:00:00,2022-12-06 23:59:00
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,https://www.zeczec.com/projects/ngo-2023-calendar,111630,103,2022-10-26 12:30:00,2022-11-30 23:59:00
星星窩貓跳台｜貓咪成長階段全適用！免釘3M專用雙面膠超耐重，還可自由換位！,https://www.zeczec.com/projects/swee-zhezhe2022,105610,27,2022-10-05 11:00:00,2022-11-07 23:59:00
【 椅研室｜TX370 人體工學椅】8段可調，你想要的舒適，都可以調！最符合你身型的韓國製 網格人體工學椅！,https://www.zeczec.com/projects/chairlab-tx370,100760,11,2022-10-26 12:00:00,2022-11-30 02:00:00
"2023【LOVE U, 兔】甜點日曆｜呷甜甜，過好年｜學會甜點讓每天都過的甜一點",https://www.zeczec.com/projects/loveutoocake,97811,107,2022-10-05 12:00:00,2022-12-01 23:59:00
Piazoo鍵盤上的動物園 ｜專為鋼琴初學者設計 | 音樂遊戲卡牌,https://www.zeczec.com/projects/piazoo,96183,127,2022-10-18 21:00:00,2022-11-19 02:00:00
一年365天，只需要這三款香水｜職人嚴選香材 ｜穿搭，不再煩惱帶給周遭「香害」【AMPM一日時光旅行香水套組 】byI-CHUN CHOU,https://www.zeczec.com/projects/ampm-24-i-chun-chou,89180,52,2022-09-30 19:00:00,2022-11-13 23:50:00
I Moto 機車藍芽/指紋辨識,https://www.zeczec.com/projects/i-moto-bt-finger,88460,17,2022-10-15 11:00:00,2022-11-30 23:59:00
Dcard 愛情曆 - 365天愛情攻略,https://www.zeczec.com/projects/dcard,84319,105,2022-10-03 21:00:00,2022-11-01 02:00:00
Ring Fit Holder neo｜Switch 燃脂體感遊戲防滑救星 防滑手把套 × 腿部固定帶 2022升級版,https://www.zeczec.com/projects/ring-fit-holder-neo,82659,159,2022-10-05 12:00:00,2022-11-01 02:00:00
【蒔光曆】2023 日曆人看過來！為心中的小宇宙加溫，來趟日曆小旅行！,https://www.zeczec.com/projects/timeisland,80456,84,2022-10-17 12:00:00,2022-11-25 23:59:00
《ShowTime》訂製精裝手帳｜登上時裝秀 未來由你來掌握,https://www.zeczec.com/projects/akindofchoice,80220,59,2022-10-12 12:00:00,2022-11-15 02:00:00
好日曆與你的 2023 年｜一本做成日曆的生活陪伴指南,https://www.zeczec.com/projects/calendar-tw,73305,53,2022-10-20 16:00:00,2022-11-07 02:59:00
藝情二三｜藝術喚起生活，藝術塑造社會 ― 讓藝術週曆渲染你的2023,https://www.zeczec.com/projects/accweeklycalendar,72160,42,2022-10-25 12:00:00,2022-11-08 23:59:00
大衛疊疊樂｜下班後，連米開朗基羅也紓壓的好玩意~,https://www.zeczec.com/projects/codestatue-david,68614,58,2022-09-29 20:00:00,2022-10-31 23:59:00
BOBOPET波波陪-狗狗的完美居家夥伴,https://www.zeczec.com/projects/bobopet,67560,23,2022-09-27 20:00:00,2022-11-25 23:59:00
bi×sole HOON秋冬保暖室內外拖鞋 | 重量輕且防水性佳・穿脫容易，進出室內戶外超方便 ・凹凸鞋底設計，抓地力強，長時間穿也舒適!,https://www.zeczec.com/projects/bixsole-hoon,64045,59,2022-10-12 12:00:00,2022-11-15 23:59:00
2023 微笑拼兔日曆｜一天一點生活的美好,https://www.zeczec.com/projects/MiuChCalendar,62800,42,2022-10-20 12:00:00,2022-11-30 23:59:00
SUSSI「Eye罩護」瞬熱音波護眼儀 | 一罩熱敷按摩眼罩雙享受，眼壓頭痛say掰掰,https://www.zeczec.com/projects/sussi-massage-eyemask,60021,27,2022-10-24 12:00:00,2022-11-22 23:59:00
ACERA活瓷能量杯 | 世界上最神奇的杯子，水、咖啡、茶、牛奶都變更好喝了,https://www.zeczec.com/projects/acera-energy-cup,59600,13,2022-10-25 12:00:00,2022-12-21 02:00:00
老屋創新生 X 鐵咖夢工房,https://www.zeczec.com/projects/Coffeehouse,57800,16,2022-10-01 20:00:00,2022-12-01 23:59:00
新 • 康普茶發酵液 [療癒DIY手作機能飲] 100%無多餘添加；低糖低熱量，口味百變，健康滿分！,https://www.zeczec.com/projects/linlibio-kombucha,56320,8,2022-09-29 20:00:00,2022-11-30 02:59:00
咱逗陣來社頭『鬆勢三日節』,https://www.zeczec.com/projects/sunsetfestival2022,43901,27,2022-10-25 11:00:00,2022-12-01 02:00:00
貓咪好盆友-外掛式自動貓砂盆,https://www.zeczec.com/projects/CatFriendForever,41750,5,2022-09-30 11:00:00,2022-10-31 23:59:00
CozyMax 野人の美學-【邦比桌(Bambi)】找一張桌子 讓家完整~,https://www.zeczec.com/projects/cozymax-bambi,41040,8,2022-10-21 09:30:00,2022-11-20 23:59:00
學而無礙｜募集極偏鄉孩童學習用品,https://www.zeczec.com/projects/no-boundaries,32850,25,2022-10-09 20:00:00,2022-10-31 23:59:00
憨兒鋼琴家圓夢專輯《音人無異》發行募資計畫（feat. Shino 林曉培）,https://www.zeczec.com/projects/chensenmei,32688,34,2022-10-20 10:00:00,2022-12-16 17:00:00
TODAY IS 兔 DAY 黏年曆｜ 讓１２隻在開心過節的小兔子 年年黏你度過生命中的每一個重要時刻！,https://www.zeczec.com/projects/today-is-today,32204,18,2022-10-20 12:00:00,2022-11-30 23:59:00
海廢循環小漁包－海廢漁網循環再生計畫,https://www.zeczec.com/projects/thecircularproject,29202,24,2022-10-20 20:00:00,2022-12-20 23:59:00
【2023跳跳兔動態音樂盒桌曆】+限量加贈發想版搖擺兔車用桌曆｜開創月曆新體驗 ♫.(◕∠◕).♫,https://www.zeczec.com/projects/greenjason202201,26840,25,2022-10-04 21:00:00,2022-11-15 23:59:00
美國佛迪紫外線牙刷消毒器科技進化版｜顏值高、強效殺菌、操作簡單，口腔衛生的最後防線,https://www.zeczec.com/projects/ferdy,25745,17,2022-09-30 12:00:00,2022-11-15 23:59:00
｜犬山居の午茶 x 公益攝影展｜暖心的流浪動物主題展，每個照護病老同伴動物的平凡日子都是美好時光,https://www.zeczec.com/projects/afternoon-tea-with-tcasa,25300,10,2022-10-13 20:00:00,2022-12-15 23:59:00
零負擔口罩第二彈「Co-que Air 口罩」全新煙燻系列顏色 魅力登場,https://www.zeczec.com/projects/co-que-air,23732,10,2022-10-05 12:00:00,2022-11-19 23:59:00
祈癒天使能量精油 × 石墨烯療癒貼【雙重賦能量，讓你賦賦得正，身心靈舒暢 】,https://www.zeczec.com/projects/HealingAngel,21192,8,2022-10-24 12:00:00,2022-12-01 23:59:00
【T-Future】健康運動跑錶｜集結三鐵馬拉松、高精準健康量測｜台灣設計製造、搭配自有品牌 APP,https://www.zeczec.com/projects/t-future,20960,3,2022-10-05 21:00:00,2022-12-25 23:59:00
【 MECA 三合一視訊鏡頭｜便攜式、簡便式設備 】3 秒 Ready，隨時開始一場完美會議！,https://www.zeczec.com/projects/meca,17940,6,2022-10-20 12:00:00,2022-11-28 02:00:00
史上最輕 強度最大【Fabriceasy】X【原物三生】 打造【Dyneema®】〈不動2.0〉包款：穿梭都會 原野探險 後背包與郵差包 可拆式 可組合 兩用款,https://www.zeczec.com/projects/Fabriceasy,16520,2,2022-10-26 10:10:00,2022-11-26 14:00:00
【Back to Fashion 從心學穿搭】跟著一線品牌掌舵手，學會穿搭技巧，定義獨一無二的你！,https://www.zeczec.com/projects/back-to-fashion,15880,6,2022-10-24 20:00:00,2022-12-24 23:59:00
【GOGOLIFE倒數桌鐘】讓您感受時間分秒的流逝，珍惜此時此刻，追尋生命中真正重要的事物,https://www.zeczec.com/projects/GoGoLife_TableClock,14960,3,2022-10-20 20:00:00,2022-12-07 23:59:00
日有所撕 SAVE THE DAY 2023｜不只是一本桌曆，更是發揮你想像力的創意平台,https://www.zeczec.com/projects/savetheday2023,14540,14,2022-10-02 15:00:00,2022-10-30 23:59:00
《練愛大確幸》：52週實現所有愛情願望的幸福週曆，讓你/妳每天三分鐘，邊寫邊感動大喊：「真是太幸福啦！」,https://www.zeczec.com/projects/lovelucklab,14120,26,2022-10-03 11:00:00,2022-11-30 23:59:00
《吉利‧吉曆》無時效性插畫故事月曆｜每個月帶你認識一個台灣獨特的傳統圖案故事。,https://www.zeczec.com/projects/jili,12720,19,2022-10-01 00:00:00,2022-11-09 23:59:00
王羲之書法要訣月曆,https://www.zeczec.com/projects/z-calligraphy,12100,14,2022-09-30 12:00:00,2022-11-20 23:59:00
【屋福箱｜全台唯一主題式寵物零食福袋】讓狗狗一起享受收禮物的驚喜感！今年最澎湃的聖誕禮，獻給最愛的毛小孩！,https://www.zeczec.com/projects/shopwoofwoof-box,12012,11,2022-10-24 20:00:00,2022-11-30 23:59:00
懶主人救星！【機能性貓咪餐包】真正做到低磷！守護一次到位。,https://www.zeczec.com/projects/beyondpet,11760,6,2022-10-13 12:00:00,2022-11-10 23:59:00
LOTUS9 雙介面讀卡機 | 全球最小、可更換式記憶卡、無須下載驅動、鋅合金鍍黑鎳特別打造！！,https://www.zeczec.com/projects/lotus9-512gb,11376,15,2022-10-12 12:00:00,2022-11-30 23:59:00
2023 【 柔らかな日々 】手繪花月曆｜櫥底 cookies &.,https://www.zeczec.com/projects/flowerday,11150,13,2022-10-26 12:00:00,2023-01-16 02:00:00
OCEAN BOX全沈浸深海體驗巡迴展＋AR海洋生物學習APP開發,https://www.zeczec.com/projects/wildaidoceanbox,8500,9,2022-10-14 10:00:00,2022-11-25 23:59:00
2023 | 米小力Minize牽手日曆 | 天天牽一起~男男×男女×女女都可以~,https://www.zeczec.com/projects/minize-2023,6840,3,2022-10-20 20:00:00,2022-11-30 23:59:00
襪！一起感受腳底繽紛世界 - JWP socks,https://www.zeczec.com/projects/JWP-socks,6818,8,2022-10-05 13:00:00,2022-12-05 13:00:00
安心環境，一燈搞定 | 智能UV殺菌燈(居家、辦公環境防疫必備),https://www.zeczec.com/projects/ddbuy_light,6380,1,2022-09-29 12:00:00,2022-11-18 23:59:00
【dinos美力御守瓶】｜美顏 X 元氣：6種營養素，從裡到外應援女性健康！,https://www.zeczec.com/projects/dinos_beauty,5592,4,2022-10-06 20:00:00,2022-11-18 23:59:00
【沉沫】微電影製作,https://www.zeczec.com/projects/chen-mo-wei-dian-ying-zhi-zuo,5400,7,2022-10-20 12:00:00,2022-12-20 23:59:00
B&E【三面二用】大時尚托特包- 顛覆認知，放大想像！,https://www.zeczec.com/projects/BAGANDEARTH,4801,1,2022-10-04 12:00:00,2022-11-21 23:59:00
冷凝水循環為天然高效殺菌清潔劑 | 愛地球從你家除濕機開始 | AQUALOOP淨水碇,https://www.zeczec.com/projects/aqualoop-tablet,4194,6,2022-10-11 13:00:00,2022-12-12 02:00:00
2023 [ 萬more兔more ] 月曆桌曆✦好事多更多！,https://www.zeczec.com/projects/onemore-twomore,3879,6,2022-09-28 20:00:00,2022-12-05 23:59:00
畢業製作《尋》紀錄片募資計畫,https://www.zeczec.com/projects/capstone-project-documentary-SEARCHING,3800,3,2022-09-27 11:00:00,2022-11-20 23:59:00
我今天跟你說過 Hi ! 了嗎？2023 超 mini 小日曆｜3D浮雕燙金★日本巴川紙｜給朋友的耶誕節最佳禮物！,https://www.zeczec.com/projects/hdh-mini,3510,3,2022-10-18 20:00:00,2022-11-11 23:59:00
《人生百態．魔法桌遊》適用多數身心靈系統的桌遊工具 在歡笑中找到自我,https://www.zeczec.com/projects/LifeofMagic,3000,1,2022-10-19 00:00:00,2022-12-31 23:59:00
《直男而喪》要命啊！直男癌,https://www.zeczec.com/projects/straightmalecancer,2400,2,2022-10-15 09:00:00,2022-11-05 23:59:00
ToursCombine 旅遊知識網,https://www.zeczec.com/projects/tourscombine,2000,2,2022-10-03 12:00:00,2022-11-14 23:59:00
【豆志不減，力挺新鮮非基改國產大豆】黑豆茶．黑豆粉．黑豆糙米香．香酥黑豆 ▍入選6家百貨VIP廳精品農產品展售,https://www.zeczec.com/projects/GF-blackbeans,2000,3,2022-10-13 20:00:00,2022-11-27 23:59:00
屋乎挨栽｜建造屬於自己的廟宇／街屋 3D 數位模型,https://www.zeczec.com/projects/wu-hu-ai-zai,2000,1,2022-10-11 12:00:00,2022-12-11 23:59:00
Dogeous-高質感鋁合金口紅架,https://www.zeczec.com/projects/Dogeous,1998,2,2022-10-12 18:00:00,2022-12-12 23:59:00
金門牛肉乾沒有金門牛？追金門牛肉乾源頭，助環境也助牛農！,https://www.zeczec.com/projects/yuantoufood,1449,2,2022-10-25 12:00:00,2022-12-01 02:00:00
⟨⟨OHANA⟩⟩動物保育專案成果展 | 募資計畫,https://www.zeczec.com/projects/ohana,1400,2,2022-10-17 12:00:00,2023-02-28 23:59:00
2023 × 小貓島Kittensisland × 貓日曆 | 買機票，陪17隻貓坐飛機回台灣吧!,https://www.zeczec.com/projects/kittensisland_2023,1288,1,2022-10-25 20:00:00,2022-11-30 23:59:00
圓缺之間-身心障礙者影展-看見,https://www.zeczec.com/projects/tosee,1030,2,2022-09-28 12:00:00,2022-11-26 20:30:00
2023 日曆筆記本 ｜一本有點毒、多功能、橫跨450天的強迫症需求筆記本,https://www.zeczec.com/projects/note,800,1,2022-10-27 00:00:00,2022-11-30 23:59:00
浪愛拾起，毛孩有你-流浪動物公益市集展覽,https://www.zeczec.com/projects/shihmao,500,1,2022-10-21 08:00:00,2022-12-21 23:59:00
混和式 HURIEN 廚餘處理機 | 放入廚餘・等待變成肥料，就是如此簡單！,https://www.zeczec.com/projects/hurien,0,0,2022-10-18 12:00:00,2022-12-18 23:59:00
